seed,regime,model,mean_cd,base_cd,retrieval_cd,coverage_cd,mmd_cd,reference_cd,improvement_vs_reference_pct,notes
7,full,retrieval_descriptor_top1,0.017971465663041596,,,0.5555555555555556,0.017198938876390457,,,non-parametric descriptor nearest-neighbor target
7,full,fair_cgan_split_best,0.01620362070101647,,,0.7901234567901234,0.016170380637049675,,,fair split CGAN baseline from main summary
7,full,ardc_frozen_descriptor,0.01606053852096752,0.016163047644551152,0.017971465663041596,0.8395061728395061,0.016032816842198372,0.01620362070101647,0.8830259772741718,frozen base + descriptor case-memory residual
7,full,ardc_frozen_flat_l2,0.016098292958405282,0.016163047644551152,0.01760847379028061,0.8518518518518519,0.01607915386557579,0.01620362070101647,0.6500259698412918,best validation checkpoint
7,full,ardc_frozen_dual_descriptor_flat_l2,0.01609026227882247,0.016163047644551152,0.017971465663041596,0.8765432098765432,0.01604212448000908,0.01620362070101647,0.699586989140571,best validation checkpoint
7,full,ardc_unfreeze_descriptor,0.01590643033247303,0.01590629906198125,0.017971465663041596,0.8641975308641975,0.0158846415579319,0.01591262161547755,0.03890800117119772,best validation checkpoint
7,full,ardc_unfreeze_flat_l2,0.01591737770739897,0.015917169815504256,0.01760847379028061,0.8518518518518519,0.01589326560497284,0.01591262161547755,-0.02988880170941746,best validation checkpoint
7,full,fair_cgan_zero_finetune_best,0.01591262161547755,,,,,0.01620362070101647,1.7958892701102611,"init from fair CGAN, zero latent deterministic adaptation, no retrieval refiner"
13,full,retrieval_descriptor_top1,0.018028007015401935,,,0.5432098765432098,0.017104875296354294,,,non-parametric descriptor nearest-neighbor target
13,full,fair_cgan_split_best,0.01613376673632934,,,0.7530864197530864,0.01608140394091606,,,fair split CGAN baseline from main summary
13,full,ardc_frozen_descriptor,0.015976037347206363,0.016107527838077073,0.018028007015401935,0.8641975308641975,0.01591760665178299,0.01613376673632934,0.9776352398092337,frozen base + descriptor case-memory residual
13,full,ardc_frozen_flat_l2,0.016027881303963102,0.016107527838077073,0.017491476633298544,0.8395061728395061,0.015944113954901695,0.01613376673632934,0.6562970327803748,best validation checkpoint
13,full,ardc_frozen_dual_descriptor_flat_l2,0.016058293757615267,0.016107527838077073,0.018028007015401935,0.7901234567901234,0.015955094248056412,0.01613376673632934,0.4677951525363556,best validation checkpoint
13,full,ardc_unfreeze_descriptor,0.01581070981459853,0.015811871438298698,0.018028007015401935,0.8024691358024691,0.01577206328511238,0.015813064244058397,0.014889141178005261,best validation checkpoint
13,full,ardc_unfreeze_flat_l2,0.015800387265137685,0.015799883132179577,0.017491476633298544,0.8271604938271605,0.015763159841299057,0.015813064244058397,0.08016775702074798,best validation checkpoint
13,full,fair_cgan_zero_finetune_best,0.015813064244058397,,,,,0.01613376673632934,1.9877719661633475,"init from fair CGAN, zero latent deterministic adaptation, no retrieval refiner"
21,full,retrieval_descriptor_top1,0.018259735594009174,,,0.5185185185185185,0.017208436504006386,,,non-parametric descriptor nearest-neighbor target
21,full,fair_cgan_split_best,0.016578330485909072,,,0.7654320987654321,0.016479678452014923,,,fair split CGAN baseline from main summary
21,full,ardc_frozen_descriptor,0.01630644064488602,0.01654701999584098,0.018259735594009174,0.7654320987654321,0.016225052997469902,0.016578330485909072,1.6400314932444273,frozen base + descriptor case-memory residual
21,full,ardc_frozen_flat_l2,0.016336130438211523,0.01654701999584098,0.017704578737417858,0.7407407407407407,0.016248950734734535,0.016578330485909072,1.460943536524436,best validation checkpoint
21,full,ardc_frozen_dual_descriptor_flat_l2,0.01631590193942373,0.01654701999584098,0.018259735594009174,0.8148148148148148,0.016235720366239548,0.016578330485909072,1.5829612439467025,best validation checkpoint
21,full,ardc_unfreeze_descriptor,0.01599408168759611,0.015996157686099594,0.018259735594009174,0.8148148148148148,0.015923503786325455,0.016050064683328442,0.3488023060149018,best validation checkpoint
21,full,ardc_unfreeze_flat_l2,0.016000989192153935,0.016002772651888705,0.017704578737417858,0.7654320987654321,0.015931079164147377,0.016050064683328442,0.30576506788463126,best validation checkpoint
21,full,fair_cgan_zero_finetune_best,0.016050064683328442,,,,,0.016578330485909072,3.186483723615207,"init from fair CGAN, zero latent deterministic adaptation, no retrieval refiner"
42,full,retrieval_descriptor_top1,0.017986154942600814,,,0.4444444444444444,0.017122557386755943,,,non-parametric descriptor nearest-neighbor target
42,full,fair_cgan_split_best,0.016201856569099574,,,0.691358024691358,0.01615455374121666,,,fair split CGAN baseline from main summary
42,full,ardc_frozen_descriptor,0.01598481069330448,0.016179919978718697,0.017986154942600814,0.8395061728395061,0.01595267467200756,0.016201856569099574,1.3396358304334604,frozen base + descriptor case-memory residual
42,full,ardc_frozen_flat_l2,0.01597461905790332,0.016179919978718697,0.017542072997233014,0.8271604938271605,0.01595356874167919,0.016201856569099574,1.402539951067364,best validation checkpoint
42,full,ardc_frozen_dual_descriptor_flat_l2,0.016058995790871573,0.016179919978718697,0.017986154942600814,0.7530864197530864,0.01595062017440796,0.016201856569099574,0.8817556038637401,best validation checkpoint
42,full,ardc_unfreeze_descriptor,0.01574078368965858,0.015742087288311234,0.017986154942600814,0.8271604938271605,0.01570305973291397,0.015798131877809395,0.36300613638607715,best validation checkpoint
42,full,ardc_unfreeze_flat_l2,0.015744627660347357,0.015745173783305987,0.017542072997233014,0.8148148148148148,0.01570912078022957,0.015798131877809395,0.33867433109095135,best validation checkpoint
42,full,fair_cgan_zero_finetune_best,0.015798131877809395,,,,,0.016201856569099574,2.491842151350536,"init from fair CGAN, zero latent deterministic adaptation, no retrieval refiner"
7,frac25,fair_cgan_frac25_random_test,0.01901217030338299,,,,,,,stochastic z test from training script; not the strict zero-latent comparator
7,frac25,fair_cgan_frac25_zero_base,0.017629708910797848,,,,,0.01901217030338299,7.271454918217045,same generator evaluated with zero latent inside ARDC evaluator
7,frac25,retrieval_descriptor_top1,0.01819117231593456,,,0.5185185185185185,0.01719607599079609,,,"25% train index, descriptor retrieval"
7,frac25,retrieval_flat_l2_top1,0.01772182568171878,,,0.5679012345679012,0.017021261155605316,,,"25% train index, raw condition L2 retrieval"
7,frac25,ardc_frac25_frozen_descriptor,0.017618009130711907,0.017629708910797848,0.01819117231593456,0.5061728395061729,0.017497310414910316,0.017629708910797848,0.06636400036517243,25% train index; frozen base
7,frac25,ardc_frac25_frozen_flat_l2,0.017623218466286308,0.017629708910797848,0.01772182568171878,0.48148148148148145,0.017495891079306602,0.017629708910797848,0.036815381038791714,25% train index; frozen base
13,frac25,fair_cgan_frac25_random_test,0.01934641581258656,,,,,,,stochastic z test from training script; not the strict zero-latent comparator
13,frac25,fair_cgan_frac25_zero_base,0.017985434236901778,,,,,0.01934641581258656,7.034799566332811,same generator evaluated with zero latent inside ARDC evaluator
13,frac25,retrieval_descriptor_top1,0.01839154443623107,,,0.4691358024691358,0.017059894278645515,,,"25% train index, descriptor retrieval"
13,frac25,retrieval_flat_l2_top1,0.01737426063850706,,,0.5555555555555556,0.016966890543699265,,,"25% train index, raw condition L2 retrieval"
13,frac25,ardc_frac25_frozen_descriptor,0.01782978027139181,0.017985434236901778,0.01839154443623107,0.5432098765432098,0.017532140016555786,0.017985434236901778,0.8654445784278302,25% train index; frozen base
13,frac25,ardc_frac25_frozen_flat_l2,0.017843091170544976,0.017985434236901778,0.01737426063850706,0.5432098765432098,0.017508847638964653,0.017985434236901778,0.7914352496685787,25% train index; frozen base
42,frac25,fair_cgan_frac25_random_test,0.018899434050660073,,,,,,,stochastic z test from training script; not the strict zero-latent comparator
42,frac25,fair_cgan_frac25_zero_base,0.01779460194118229,,,,,0.018899434050660073,5.845847587373642,same generator evaluated with zero latent inside ARDC evaluator
42,frac25,retrieval_descriptor_top1,0.01857912359920181,,,0.37037037037037035,0.01724608801305294,,,"25% train index, descriptor retrieval"
42,frac25,retrieval_flat_l2_top1,0.017631003817106472,,,0.5679012345679012,0.016986161470413208,,,"25% train index, raw condition L2 retrieval"
42,frac25,ardc_frac25_frozen_descriptor,0.01770064805024936,0.01779460194118229,0.01857912359920181,0.5185185185185185,0.017378248274326324,0.01779460194118229,0.5279909673927021,25% train index; frozen base
42,frac25,ardc_frac25_frozen_flat_l2,0.017651488314624184,0.01779460194118229,0.017631003817106472,0.48148148148148145,0.01744159683585167,0.01779460194118229,0.8042530371353487,25% train index; frozen base
7,full,ardc_adaptive_policy,0.01590643033247303,0.01590629906198125,0.017971465663041596,0.8641975308641975,0.0158846415579319,0.01620362070101647,1.8340985266632108,adaptive resolves to refined output for full-data runs
13,full,ardc_adaptive_policy,0.01581070981459853,0.015811871438298698,0.018028007015401935,0.8024691358024691,0.01577206328511238,0.01613376673632934,2.0023651451670137,adaptive resolves to refined output for full-data runs
21,full,ardc_adaptive_policy,0.01599408168759611,0.015996157686099594,0.018259735594009174,0.8148148148148148,0.015923503786325455,0.016578330485909072,3.5241715009213492,adaptive resolves to refined output for full-data runs
42,full,ardc_adaptive_policy,0.01574078368965858,0.015742087288311234,0.017986154942600814,0.8271604938271605,0.01570305973291397,0.016201856569099574,2.8458027478181562,adaptive resolves to refined output for full-data runs
7,frac25,ardc_adaptive_policy,0.01772182568171878,0.017629708910797848,0.01772182568171878,0.5679012345679012,0.017021261155605316,0.017629708910797848,-0.5225087458166214,adaptive resolves to flat-L2 design-case memory for 25% runs
13,frac25,ardc_adaptive_policy,0.01737426063850706,0.017985434236901778,0.01737426063850706,0.5555555555555556,0.016966890543699265,0.017985434236901778,3.3981587007820906,adaptive resolves to flat-L2 design-case memory for 25% runs
42,frac25,ardc_adaptive_policy,0.017631003817106472,0.01779460194118229,0.017631003817106472,0.5679012345679012,0.016986161470413208,0.01779460194118229,0.9193693942498323,adaptive resolves to flat-L2 design-case memory for 25% runs
